Name,Surname,Faculty,StudyTime,Number,Birthday,Email,FatherName,MotherName
Paweł,Nowak1,Informatyka dzienne,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Adam,Alina
Kaja,Jankowski29,Sztuka Nowych Mediów dzienne,Dzienne,4816,2000-02-12,29@pjwstk.edu.pl,Adam,Alina
Justyna,Kowalski30,Sztuka Nowych Mediów dzienne,Dzienne,4749,2000-02-12,30@pjwstk.edu.pl,Adam,Alina
Michał,Nowak31,Sztuka Nowych Mediów dzienne,Dzienne,4432,2000-02-12,31@pjwstk.edu.pl,Adam,Alina
Kamil,Brzęczyszczykiewicz32,Sztuka Nowych Mediów dzienne,Dzienne,4757,2000-02-12,32@pjwstk.edu.pl,Adam,Alina
Marta,Maciejewski33,Sztuka Nowych Mediów dzienne,Dzienne,4655,2000-02-12,33@pjwstk.edu.pl,Adam,Alina
Szymon,Jankowski34,Sztuka Nowych Mediów dzienne,Dzienne,4398,2000-02-12,34@pjwstk.edu.pl,Adam,Alina
Joanna,Brzęczyszczykiewicz37,Sztuka Nowych Mediów dzienne,Dzienne,4799,2000-02-12,37@pjwstk.edu.pl,Adam,Alina
Irena,Maciejewski38,Sztuka Nowych Mediów dzienne,Dzienne,4626,2000-02-12,38@pjwstk.edu.pl,Adam,Alina
Adam,Jankowski39,Sztuka Nowych Mediów dzienne,Dzienne,4446,2000-02-12,39@pjwstk.edu.pl,Adam,Alina
Kacper,Kowalski40,Sztuka Nowych Mediów dzienne,Dzienne,4396,2000-02-12,40@pjwstk.edu.pl,Adam,Alina
Paweł,Nowak41,Sztuka Nowych Mediów dzienne,Dzienne,4902,2000-02-12,41@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz42,Sztuka Nowych Mediów zaoczne,Zaoczne,4434,2000-02-12,42@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski43,Sztuka Nowych Mediów dzienne,Dzienne,4517,2000-02-12,43@pjwstk.edu.pl,Adam,Alina
Grzegorz,Jankowski44,Sztuka Nowych Mediów dzienne,Dzienne,4705,2000-02-12,44@pjwstk.edu.pl,Adam,Alina
Adrian,Kowalski45,Sztuka Nowych Mediów dzienne,Dzienne,4661,2000-02-12,45@pjwstk.edu.pl,Adam,Alina
Jan,Nowak46,Sztuka Nowych Mediów dzienne,Dzienne,4842,2000-02-12,46@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz47,Sztuka Nowych Mediów dzienne,Dzienne,4709,2000-02-12,47@pjwstk.edu.pl,Adam,Alina
Iga,Maciejewski48,Sztuka Nowych Mediów dzienne,Dzienne,4792,2000-02-12,48@pjwstk.edu.pl,Adam,Alina
Jakub,Jankowski49,Sztuka Nowych Mediów dzienne,Dzienne,4789,2000-02-12,49@pjwstk.edu.pl,Adam,Alina
Maria,Kowalski50,Sztuka Nowych Mediów dzienne,Dzienne,4708,2000-02-12,50@pjwstk.edu.pl,Adam,Alina
Artur,Nowak51,Sztuka Nowych Mediów dzienne,Dzienne,4404,2000-02-12,51@pjwstk.edu.pl,Adam,Alina
Sabina,Brzęczyszczykiewicz52,Sztuka Nowych Mediów dzienne,Dzienne,4513,2000-02-12,52@pjwstk.edu.pl,Adam,Alina
Łukasz,Maciejewski53,Sztuka Nowych Mediów dzienne,Dzienne,4442,2000-02-12,53@pjwstk.edu.pl,Adam,Alina
Marcin,Jankowski54,Sztuka Nowych Mediów dzienne,Dzienne,4732,2000-02-12,54@pjwstk.edu.pl,Adam,Alina
Rafał,Kowalski55,Sztuka Nowych Mediów dzienne,Dzienne,4506,2000-02-12,55@pjwstk.edu.pl,Adam,Alina
Jan,Nowak56,Sztuka Nowych Mediów dzienne,Dzienne,4649,2000-02-12,56@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz57,Sztuka Nowych Mediów dzienne,Dzienne,4755,2000-02-12,57@pjwstk.edu.pl,Adam,Alina
Julia,Maciejewski58,Sztuka Nowych Mediów dzienne,Dzienne,4890,2000-02-12,58@pjwstk.edu.pl,Adam,Alina
Karol,Jankowski59,Sztuka Nowych Mediów dzienne,Dzienne,4594,2000-02-12,59@pjwstk.edu.pl,Adam,Alina
Katarzyna,Nowak61,Sztuka Nowych Mediów dzienne,Dzienne,4925,2000-02-12,61@pjwstk.edu.pl,Adam,Alina
Marzena,Brzęczyszczykiewicz62,Sztuka Nowych Mediów dzienne,Dzienne,4748,2000-02-12,62@pjwstk.edu.pl,Adam,Alina
Filip,Maciejewski63,Sztuka Nowych Mediów dzienne,Dzienne,4720,2000-02-12,63@pjwstk.edu.pl,Adam,Alina
Karolina,Jankowski64,Sztuka Nowych Mediów dzienne,Dzienne,4423,2000-02-12,64@pjwstk.edu.pl,Adam,Alina
Mateusz,Kowalski65,Sztuka Nowych Mediów dzienne,Dzienne,4299,2000-02-12,65@pjwstk.edu.pl,Adam,Alina
Magdalena,Nowak66,Sztuka Nowych Mediów dzienne,Dzienne,4629,2000-02-12,66@pjwstk.edu.pl,Adam,Alina
Igor,Brzęczyszczykiewicz67,Sztuka Nowych Mediów dzienne,Dzienne,4889,2000-02-12,67@pjwstk.edu.pl,Adam,Alina
Bogumiła,Maciejewski68,Sztuka Nowych Mediów dzienne,Dzienne,4831,2000-02-12,68@pjwstk.edu.pl,Adam,Alina
Paweł,Jankowski69,Sztuka Nowych Mediów dzienne,Dzienne,4478,2000-02-12,69@pjwstk.edu.pl,Adam,Alina
Marta,Kowalski70,Sztuka Nowych Mediów dzienne,Dzienne,4718,2000-02-12,70@pjwstk.edu.pl,Adam,Alina
Kamil,Nowak71,Sztuka Nowych Mediów dzienne,Dzienne,4741,2000-02-12,71@pjwstk.edu.pl,Adam,Alina
Beata,Brzęczyszczykiewicz72,Sztuka Nowych Mediów dzienne,Dzienne,4444,2000-02-12,72@pjwstk.edu.pl,Adam,Alina
Kacper,Maciejewski73,Sztuka Nowych Mediów dzienne,Dzienne,4552,2000-02-12,73@pjwstk.edu.pl,Adam,Alina
Gustaw,Jankowski74,Sztuka Nowych Mediów dzienne,Dzienne,4462,2000-02-12,74@pjwstk.edu.pl,Adam,Alina
Arkadiusz,Kowalski75,Sztuka Nowych Mediów dzienne,Dzienne,4414,2000-02-12,75@pjwstk.edu.pl,Adam,Alina
Sonia,Nowak76,Sztuka Nowych Mediów dzienne,Dzienne,4508,2000-02-12,76@pjwstk.edu.pl,Adam,Alina
Sandra,Brzęczyszczykiewicz77,Sztuka Nowych Mediów dzienne,Dzienne,4800,2000-02-12,77@pjwstk.edu.pl,Adam,Alina
Małgorzata,Maciejewski78,Sztuka Nowych Mediów dzienne,Dzienne,4429,2000-02-12,78@pjwstk.edu.pl,Adam,Alina
Kiyomi,Jankowski79,Sztuka Nowych Mediów dzienne,Dzienne,4927,2000-02-12,79@pjwstk.edu.pl,Adam,Alina
Konrad,Kowalski80,Sztuka Nowych Mediów dzienne,Dzienne,4502,2000-02-12,80@pjwstk.edu.pl,Adam,Alina
Tomasz,Nowak81,Sztuka Nowych Mediów dzienne,Dzienne,4744,2000-02-12,81@pjwstk.edu.pl,Adam,Alina
Maciej,Brzęczyszczykiewicz82,Sztuka Nowych Mediów dzienne,Dzienne,4477,2000-02-12,82@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski83,Sztuka Nowych Mediów dzienne,Dzienne,4736,2000-02-12,83@pjwstk.edu.pl,Adam,Alina
Klaudia,Jankowski84,Sztuka Nowych Mediów dzienne,Dzienne,4849,2000-02-12,84@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski85,Sztuka Nowych Mediów dzienne,Dzienne,4819,2000-02-12,85@pjwstk.edu.pl,Adam,Alina
Sebastian,Nowak86,Sztuka Nowych Mediów dzienne,Dzienne,4445,2000-02-12,86@pjwstk.edu.pl,Adam,Alina
Kamil,Brzęczyszczykiewicz87,Sztuka Nowych Mediów dzienne,Dzienne,4707,2000-02-12,87@pjwstk.edu.pl,Adam,Alina
Jagna,Maciejewski88,Sztuka Nowych Mediów dzienne,Dzienne,4764,2000-02-12,88@pjwstk.edu.pl,Adam,Alina
Izabela,Jankowski89,Sztuka Nowych Mediów dzienne,Dzienne,4722,2000-02-12,89@pjwstk.edu.pl,Adam,Alina
Mateusz,Kowalski90,Sztuka Nowych Mediów dzienne,Dzienne,4452,2000-02-12,90@pjwstk.edu.pl,Adam,Alina
Daria,Nowak91,Sztuka Nowych Mediów dzienne,Dzienne,4545,2000-02-12,91@pjwstk.edu.pl,Adam,Alina
Agnieszka,Brzęczyszczykiewicz92,Sztuka Nowych Mediów dzienne,Dzienne,4771,2000-02-12,92@pjwstk.edu.pl,Adam,Alina
Iwona,Maciejewski93,Sztuka Nowych Mediów dzienne,Dzienne,4706,2000-02-12,93@pjwstk.edu.pl,Adam,Alina
Aleksandra,Jankowski94,Sztuka Nowych Mediów dzienne,Dzienne,4772,2000-02-12,94@pjwstk.edu.pl,Adam,Alina
Tomasz,Kowalski95,Informatyka dzienne,Dzienne,3374,2000-02-12,95@pjwstk.edu.pl,Adam,Alina
Jolanta,Nowak96,Sztuka Nowych Mediów dzienne,Dzienne,4756,2000-02-12,96@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz97,Sztuka Nowych Mediów dzienne,Dzienne,4457,2000-02-12,97@pjwstk.edu.pl,Adam,Alina
Paweł,Brzęczyszczykiewicz252,Informatyka dzienne po angielsku,Dzienne,4412,2000-02-12,252@pjwstk.edu.pl,Adam,Alina
Dariusz,Maciejewski253,Informatyka dzienne,Dzienne,4525,2000-02-12,253@pjwstk.edu.pl,Adam,Alina
Kamil,Jankowski254,Informatyka dzienne,Dzienne,4836,2000-02-12,254@pjwstk.edu.pl,Adam,Alina
Łukasz,Kowalski255,Informatyka dzienne,Dzienne,4788,2000-02-12,255@pjwstk.edu.pl,Adam,Alina
